Question,Option A,Option B,Option C,Correct Answer
Meiner Meinung ___ hat die Globalisierung sowohl positive als auch negative Aspekte.,nach,ist,vor,A
"Das tut uns leid; wir prüfen sofort, wie es zu ___ Fehler kommen konnte.",den,dem,der,B
"Ich versuche, weniger Zucker ___ essen, weil ich merke, dass ich mich dadurch fitter fühle.",um,an,zu,C
Mein Interesse ___ Naturwissenschaften wurde in der Oberstufe geweckt.,zum,an,für,C
"Hast du das neue Restaurant in der Stadt schon ausprobiert? Ich habe gehört, es ___ super!",ist,sind,nicht,A
"___  gesund zu bleiben, versuche ich, regelmäßig Sport zu treiben und Stress zu vermeiden.",Für,Um,Zum,B
"Wenn ich koche, vermeide ich ___, weil ich den natürlichen Geschmack bevorzuge.",es,sie,ihn,A
"Ich war tief gerührt, wie viel Unterstützung ich in dieser schwierigen Zeit erfahren ___.",hat,habe,nicht,B
"Ein absolutes Muss ___, dass beide Seiten von der Vereinbarung profitieren.",ist,sei,war,A
What is the correct article for the word 'Buch' (book)?,der,die,das,C
